Translation Label	English Text	Translator Notes
GRID_CONTROL.AGGREGATE.TITLE	Aggregate	
GRID_CONTROL.FIELD.REMOVE	Remove	
GRID_CONTROL.FIELD.SHOW_FUNCTIONS	Show functions available for this field	
GRID_CONTROL.AGGREGATE.EDIT_OPTIONS	Edit options	
GRID_CONTROL.AGGREGATE.OPTIONS_DIALOG.TITLE	Options for %s	
GRID_CONTROL.OPERATIONS.TITLE	Operations	
		
// Aggregate function names		
		
AGGREGATE.NAME.COUNT	Count	
AGGREGATE.NAME.COUNT_DISTINCT	Count Distinct	
AGGREGATE.NAME.VALUES	Values	
AGGREGATE.NAME.VALUES_WITH_COUNTS	Values w/ Counts	
AGGREGATE.NAME.DISTINCT_VALUES	Distinct Values	
AGGREGATE.NAME.SUM	Sum	
AGGREGATE.NAME.AVERAGE	Average	
AGGREGATE.NAME.MIN	Min	
AGGREGATE.NAME.MAX	Max	
AGGREGATE.NAME.FIRST	First	
AGGREGATE.NAME.LAST	Last	
AGGREGATE.NAME.NTH	Nth	
AGGREGATE.NAME.SUM_OVER_SUM	Sum/Sum	
AGGREGATE.NAME.COUNT_OVER_COUNT	Count/Count	
		
AGGREGATE.FIELD.NUMERATOR	Num	
AGGREGATE.FIELD.DENOMINATOR	Denom	
		
AGGREGATE.HEADER_DISPLAY	%s of %s	Used to display the header item for an aggregate function with the fields it is applied to, e.g. "Count Distinct of Country"
		
// Grid Table Output		
		
GRID.TABLE.SORT_MENU.ASCENDING	%s, Ascending	
GRID.TABLE.SORT_MENU.DESCENDING	%s, Descending	
GRID.TABLE.SORT_MENU.RESET_SORT	Reset Sort	
		
GRID.TABLE.DRAGGABLE_FIELD_HELP	You can drag & drop this field into the grid controls above to filter, group or pivot.	
GRID.TABLE.ADD_FILTER_HELP	Click to add a filter for "%s"	
		
GRID.TABLE.RESIZE_COLUMN	Drag to resize column
GRID.TABLE.REORDER_COLUMN	Drag to reorder column

// Group Functions		
		
GRID.GROUP_FUN.DIALOG.TITLE	Apply Function to %s	
GRID.GROUP_FUN.DIALOG.REPEATING	Repeating	A header for slicing the data set according to repeating patterns, like "day of week" or "month of year."
GRID.GROUP_FUN.DIALOG.DATE	Date	
GRID.GROUP_FUN.DIALOG.DATE_TIME	Date & Time	
GRID.GROUP_FUN.DIALOG.TIME	Time	
GRID.GROUP_FUN.DIALOG.OTHER	Other	
		
GRID.GROUP_FUN.NONE	None	
GRID.GROUP_FUN.REPEATING.QUARTER	Quarter	
GRID.GROUP_FUN.REPEATING.MONTH	Month	
GRID.GROUP_FUN.REPEATING.WEEK	Week (ISO)	
GRID.GROUP_FUN.REPEATING.DAY_OF_WEEK	Day of Week	
GRID.GROUP_FUN.DATE.YEAR	Year	
GRID.GROUP_FUN.DATE.YEAR_AND_QUARTER	Year & Quarter	
GRID.GROUP_FUN.DATE.YEAR_AND_MONTH	Year & Month	
GRID.GROUP_FUN.DATE.YEAR_AND_WEEK	Year & Week (ISO)	
GRID.GROUP_FUN.DATE.FULL_DATE	Full Date (No Time)	
GRID.GROUP_FUN.DATE_TIME.SLICE.1HR	Date & Time: 1 hr slices	
GRID.GROUP_FUN.DATE_TIME.SLICE.15MIN	Date & Time: 15 min slices	
GRID.GROUP_FUN.TIME.SLICE.1HR	Time: 1 hr slices	
GRID.GROUP_FUN.TIME.SLICE.15MIN	Time: 15 min slices	
		
GRID.TEMPLATE_EDITOR.TITLE	Template Editor	
GRID.TEMPLATE_EDITOR.PLAIN	Plain	
GRID.TEMPLATE_EDITOR.GROUPED	Grouped	
GRID.TEMPLATE_EDITOR.PIVOTTED	Pivotted	
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE	Before	
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE_GROUP	Before Group	
GRID.TEMPLATE_EDITOR.CONFIG.ITEM	Item	
GRID.TEMPLATE_EDITOR.CONFIG.AFTER_GROUP	After Group	
GRID.TEMPLATE_EDITOR.CONFIG.AFTER	After	
GRID.TEMPLATE_EDITOR.CONFIG.EMPTY	Empty	
		
CALENDAR.DAY.MONDAY	Monday	
CALENDAR.DAY.TUESDAY	Tuesday	
CALENDAR.DAY.WEDNESDAY	Wednesday	
CALENDAR.DAY.THURSDAY	Thursday	
CALENDAR.DAY.FRIDAY	Friday	
CALENDAR.DAY.SATURDAY	Saturday	
CALENDAR.DAY.SUNDAY	Sunday	
		
CALENDAR.MONTH.JANUARY	January	
CALENDAR.MONTH.FEBRUARY	February	
CALENDAR.MONTH.MARCH	March	
CALENDAR.MONTH.APRIL	April	
CALENDAR.MONTH.MAY	May	
CALENDAR.MONTH.JUNE	June	
CALENDAR.MONTH.JULY	July	
CALENDAR.MONTH.AUGUST	August	
CALENDAR.MONTH.SEPTEMBER	September	
CALENDAR.MONTH.OCTOBER	October	
CALENDAR.MONTH.NOVEMBER	November	
CALENDAR.MONTH.DECEMBER	December	
		
FILTER.DATE.OPERATOR.ON	on	
FILTER.DATE.OPERATOR.BETWEEN	between	
FILTER.DATE.OPERATOR.BEFORE	before	
FILTER.DATE.OPERATOR.AFTER	after	
FILTER.DATE.OPERATOR.EVERY	every	
FILTER.DATE.OPERATOR.CURRENT	current	
FILTER.DATE.OPERATOR.LAST	last	
FILTER.DATE.OPERATOR.AND	and	
FILTER.STRING.OPERATOR.IN	in
FILTER.STRING.OPERATOR.NOT_IN	not in
FILTER.STRING.OPERATOR.BLANK	blank
FILTER.STRING.OPERATOR.NOT_BLANK	not blank
		
CALENDAR.DATE	date	
CALENDAR.DAY	day	
CALENDAR.WEEK	week	
CALENDAR.MONTH	month	
CALENDAR.QUARTER	quarter	
CALENDAR.YEAR	year	

DATA.NO_DATA	No Data
DATA.NOTHING_TO_GRAPH	Nothing to Graph

PREFS.MAIN_PERSPECTIVE	Main Perspective

// Auto-added by lint:i18n:update

COL_CONFIG.ALLOW_FORMATTING	Allow formatting
COL_CONFIG.ALLOW_HTML	Allow HTML
COL_CONFIG.DISPLAY_NAME	Display Name
COL_CONFIG.DRAG_HANDLE	COL_CONFIG.DRAG_HANDLE
COL_CONFIG.FIELD	Field
COL_CONFIG.FORMAT	Format
COL_CONFIG.HIDE	Hide column
COL_CONFIG.HTML	HTML
COL_CONFIG.MOVE	Move
COL_CONFIG.MOVE_BOTTOM	Move to bottom
COL_CONFIG.MOVE_TOP	Move to top
COL_CONFIG.PIN	Pin column
COL_CONFIG.PIN_WARNING	Pinned columns will be frozen on the left side of the table.
COL_CONFIG.RENAME	Rename
COL_CONFIG.RENAME_PROMPT	Enter new display name:
COL_CONFIG.RESET	Reset
COL_CONFIG.TABLE_LABEL	Column configuration table
COL_CONFIG.TITLE	Column Configuration
COMMON.CANCEL	Cancel
COMMON.CLOSE	Close
COMMON.OK	OK
CONTROL.ADD_AGGREGATE	Add aggregate function
CONTROL.ADD_FIELD	Add field
CONTROL.AGGREGATE	Aggregate
CONTROL.CLEAR	Clear all
CONTROL.DROP_HINT	Add or drag fields here
CONTROL.GROUP	Group
CONTROL.PIVOT	Pivot
CONTROL.REMOVE	Remove
CONTROL.REMOVE_FIELD	Remove
CONTROL.SECTION_FIELDS	CONTROL.SECTION_FIELDS
CONTROL.SELECT_FIELD	Field…
CONTROL.TITLE	Controls
CONTROL.VISIBLE	Visible
DEBUG.GRID_COLUMNS	Columns
DEBUG.NO_PERSPECTIVES	No perspectives
DEBUG.NO_PREFS	Prefs module not configured.
DEBUG.PREFS_AUTOSAVE	Auto-Save
DEBUG.PREFS_BACKEND	Backend
DEBUG.PREFS_BARDO	Bardo
DEBUG.PREFS_CONFIG	Configuration
DEBUG.PREFS_PERSPECTIVE	Current Perspective
DEBUG.PREFS_PERSPECTIVES	Perspectives
DEBUG.SOURCE_CONFIG	Configuration
DEBUG.SOURCE_NAME	Name
DEBUG.SOURCE_PARAMS	Params
DEBUG.SOURCE_SPEC	Spec
DEBUG.SOURCE_TYPE	Type
DEBUG.SOURCE_TYPE_INFO	Type Info
DEBUG.TAB_GRID	Grid
DEBUG.TAB_PREFS	Prefs
DEBUG.TAB_SOURCE	Source
DEBUG.TAB_VIEW	View
DEBUG.TITLE	Debug Info
DEBUG.VIEW_AGGREGATE	Aggregate Config
DEBUG.VIEW_CONFIG	Current Config
DEBUG.VIEW_FILTER	Filter Config
DEBUG.VIEW_GROUP	Group Config
DEBUG.VIEW_NAME	View Name
DEBUG.VIEW_PIVOT	Pivot Config
FILTER.ADD_FIELD	Add filter field
FILTER.ALL_SELECTED	All selected
FILTER.BOTH	Both
FILTER.CLEAR_ALL	Clear all filters
FILTER.DATE_FROM	from
FILTER.DATE_TO	to
FILTER.DATE_VALUE	FILTER.DATE_VALUE
FILTER.DAY_OF_WEEK	Day
FILTER.EMPTY	empty
FILTER.EVERY_UNIT	Period
FILTER.FALSE	False
FILTER.MONTH	Month
FILTER.NO_RESULTS	No results
FILTER.OPERATOR	Filter operator
FILTER.PERIOD	Period
FILTER.REMOVE	Remove filter
FILTER.SEARCH	Search…
FILTER.SEARCH_OPTIONS	Search options
FILTER.SELECT_ALL	All
FILTER.SELECT_VALUES	Select…
FILTER.TITLE	Filters
FILTER.TOOLBAR	Filters
FILTER.TRUE	True
FILTER.VALUE_FOR	FILTER.VALUE_FOR
GRID.LOADING.FETCHING	Fetching data…
GRID.LOADING.PROCESSING	Processing…
GRID.SKIP_TO_TABLE	Skip to data table
GRID.TITLEBAR.ACTIONS	GRID.TITLEBAR.ACTIONS
GRID.TITLEBAR.COLLAPSE	Collapse
GRID.TITLEBAR.CONTROLS	Controls
GRID.TITLEBAR.DEBUG	Debug
GRID.TITLEBAR.EXPAND	Expand
GRID.TITLEBAR.EXPORT	Export
GRID.TITLEBAR.HELP	GRID.TITLEBAR.HELP
GRID.TITLEBAR.TITLE	GRID.TITLEBAR.TITLE
GRID_TOOLBAR.GROUP.MODE	Group Mode
GRID_TOOLBAR.LABEL	Grid Toolbar
GRID_TOOLBAR.PIVOT.TABLE_OPTIONS	Table Options
GRID_TOOLBAR.PREFS.BACK	Back
GRID_TOOLBAR.PREFS.DELETE	Delete
GRID_TOOLBAR.PREFS.DELETE_CONFIRM	Delete this perspective?
GRID_TOOLBAR.PREFS.FORWARD	Forward
GRID_TOOLBAR.PREFS.LABEL	Perspective Management
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE_PROMPT	Enter perspective name:
GRID_TOOLBAR.PREFS.PERSPECTIVE	Perspective
GRID_TOOLBAR.PREFS.RENAME	Rename
GRID_TOOLBAR.PREFS.RENAME_PROMPT	Enter new name:
GRID_TOOLBAR.PREFS.RESET	Reset
GRID_TOOLBAR.PREFS.RESET_CONFIRM	Reset all preferences?
GRID_TOOLBAR.PREFS.SAVE	Save
GRID_TOOLBAR.PREFS.SAVE_AS	Save As
GROUP_FN.NONE	None
GROUP_FN.TITLE	Group Function
LANG.SELECT	Language
PERSPECTIVE.CONFIG_HEADING	Current Config (read-only)
PERSPECTIVE.CONFIG_LABEL	Perspective configuration JSON
PERSPECTIVE.CONFIRM_DELETE	Delete perspective "%s"?
PERSPECTIVE.CREATE	Create
PERSPECTIVE.CURRENT	current
PERSPECTIVE.DELETE	Delete
PERSPECTIVE.LIST_HEADING	Perspectives
PERSPECTIVE.MODIFIED	Modified
PERSPECTIVE.NEW_HEADING	Create New Perspective
PERSPECTIVE.NEW_PLACEHOLDER	Perspective name…
PERSPECTIVE.RENAME	Rename
PERSPECTIVE.RENAME_INPUT	New name
PERSPECTIVE.SWITCH	Switch to
